sim_id,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15
0,0.3400130441540978,0.04333727706415184,0.1220174870673977,0.06129942909837034,0.19601231956388124,0.20596975380684593,-0.057684741153323484,0.33793223418606655,0.1081466919612358,0.23315219493351433,0.2759889856284672,0.3334386814242376,-0.2930011245453141,-0.3323103623367577,-0.21119585311806702
1,0.31975427944996887,0.03981403283697342,0.001220357624790931,-0.07007502669067454,0.4895214773529827,0.0637917868463912,0.21208714275880025,0.4495007379400005,0.2933092651678347,-0.07857167594071549,0.2854839681489928,-0.1286611337248143,0.13799062650487542,-0.08344172811382389,0.2829097843134919
2,0.27640262933912124,0.47201011607596016,-0.28281767262770263,-0.0037568732807429827,-0.006068095610988907,0.22353226918003677,0.31634318939043543,0.1452137764050096,0.07004406608160774,0.05316462727074893,0.5077589261353112,0.27800976640018904,-0.06092265305807112,-0.06466495529106318,0.20689829639105578
3,0.08617134357782268,0.07831120315928315,-0.036381717160680845,0.1918282357010622,0.2566953352236003,0.09440814158715664,0.25877643221949886,0.36206636083348,0.018964750924899278,0.22176350952506277,0.13444733258050956,0.05513546681446052,0.007537077869408894,0.2968939267958973,0.07580716838731938
4,0.3101946871467882,-0.28839440285915124,-0.49163582428543307,0.021414579109772094,1.2345642521917752,-0.2390661515095062,0.7216726934662775,0.37887817736150176,-0.4375915754722766,0.17850557601239259,0.04049002125523098,-0.0759962967737919,-0.07588574258395304,0.2146160329797934,0.30387177201667565
5,0.23046833214655307,-0.04177403759466122,-0.30418711666720355,0.3528982149432685,0.205696934332813,-0.06894471559741094,-0.21754472327174948,0.11712542482710067,0.13726845392845502,0.10477893452726418,0.154525193891985,0.12234390728662362,0.014770973447222226,0.16841010577103913,-0.17184534665718618
6,0.2723849429441483,0.0383714803928995,-0.0341945571464552,0.1063634492370031,0.1962990495609203,-0.13145164010685437,0.23843065633277077,0.11969849148818573,0.15101489071696825,-0.19871529312115233,0.16387788756728414,0.12461655134544304,0.17041386042389656,0.3147788053031973,0.16449856261676135
7,0.11239773235496053,0.018992549323993312,0.15967623071216216,0.18518734134368978,0.03957451191768845,0.1932733614432001,-0.05430886755852945,0.05310248474394906,0.3607471428065565,0.06233658555976345,0.25202439925764925,0.3540554860126552,0.054753129013971114,0.22470285204137724,0.2032151590447185
8,0.21910904649794555,0.1093603113504988,0.29244900495504983,0.07156915212888351,0.03981403283697342,0.001220357624790931,-0.07007502669067454,0.4895214773529827,0.0637917868463912,0.21208714275880025,0.4495007379400005,0.2933092651678347,-0.07857167594071549,0.2854839681489928,-0.1286611337248143
9,0.056999667600075014,-0.22417062275129002,0.3807558613147009,0.17224841861994322,-0.09851033897345973,-0.1994683328230255,0.23980010892210227,0.24982258900136312,-0.11600447725845392,-0.322697042332726,0.20051624388285613,0.21910904649794555,0.1093603113504988,0.29244900495504983,0.07156915212888351
