sim_id,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12
1,-0.10490532092805971,0.25922130017950806,-0.0397619348391659,0.03778122762542169,0.06229472166307004,-0.02380444685985239,-0.09851301467013807,0.16463692476131508,0.1228323537823861,-0.16306896638530322,0.44501691316176384,0.21288171045225446
2,-0.026095638767601792,0.20271220925962186,0.010754363871549932,0.06427352592587887,0.1855220567060789,-0.08570029175032479,0.1538843014239848,0.2810375459112404,0.26862273795004077,0.03245378912598618,0.2028223533180442,-0.1271058745975001
3,0.0511764482811321,0.13551291844586366,-0.0957390838786063,0.06143915000444422,0.33514776537902025,0.4955682682331457,0.1837944212248117,0.19152787937725124,-0.0504731924103774,-0.08019382680544129,-0.10359332059021675,0.14886723903300036
4,0.17997860060878046,-0.01356965141124411,-0.082444052927653,0.10816981208715504,0.11598639234017138,0.05483769906178959,0.2602219500694627,0.05992035432086684,0.06353560810608938,-0.0682989125145248,0.09118746427131419,0.27262141071963875
5,0.08086893886504964,0.08221098223177803,0.13323245217539248,0.11097768484044024,0.14722049174482943,0.14816333204539922,0.16012812531864418,-0.03049264401803886,0.11416353458428397,-0.1250102458227501,0.10947114004681957,-0.08627554111240732
6,0.06284429067916819,0.13906108766226355,0.017464320980054904,0.08590093307211677,-0.129191392687653,-0.038126054449444835,0.1704775022049403,-0.0737631106983454,0.16486762437368085,-0.1008646628764216,-0.04422960950673449,-0.0667843922817678
7,0.07348192769448203,0.14781910067950066,-0.06326756878087225,0.04807270866851532,0.3178318897137917,0.030136402310326105,-0.03305000930296509,0.12647753140765228,0.04247516973225207,-0.01893320466265702,-0.1461976680136211,0.18996911610424916
8,-0.002518003026430682,0.07261518181254378,-0.06300995866507408,0.2653107466127558,0.17936937028004984,0.21479002201179664,0.057573175894896966,0.13817448890283113,0.200943031812143,0.22130772382041042,0.11591276178029086,0.06410929331015014
9,0.024644870542478436,-0.024765950483735977,-0.05125557007309245,0.12268641878546926,0.03971000029961047,-0.16762630770686682,0.051569229359886615,0.22765582922663796,0.03567481657211258,-0.1524230633408996,0.055704772988580675,0.18493955439095733
10,0.10037807113764008,0.015757404721515433,0.35626241169580464,0.36519055190849103,0.05918529245584159,0.18923182188586485,0.12732411802727617,0.18440820923908863,0.2899010147775245,0.1902503078759865,0.08452117775319268,-0.012911144064307378
